zcyc

tradedate;tradetime;period_5.0
06.01.2014;12:21:16;7,21
08.01.2014;12:41:22;7,19
09.01.2014;18:38:19;7,29
10.01.2014;18:38:17;7,31
13.01.2014;18:37:26;7,29
14.01.2014;18:39:09;7,3
15.01.2014;18:38:21;7,32
16.01.2014;18:38:30;7,32
17.01.2014;18:39:49;7,32
20.01.2014;18:39:25;7,35
21.01.2014;18:38:47;7,41
22.01.2014;18:39:29;7,4
23.01.2014;18:38:07;7,43
24.01.2014;18:39:07;7,5
27.01.2014;18:39:32;7,62
28.01.2014;18:39:37;7,59
29.01.2014;18:38:35;7,78
30.01.2014;18:39:32;7,92
31.01.2014;18:39:46;7,98
03.02.2014;18:39:31;7,88
04.02.2014;18:39:50;7,77
05.02.2014;18:39:23;7,67
06.02.2014;18:39:19;7,65
07.02.2014;18:36:44;7,67
10.02.2014;18:37:12;7,66
11.02.2014;18:39:03;7,66
12.02.2014;18:39:46;7,63
13.02.2014;18:38:03;7,73
14.02.2014;18:32:09;7,71
17.02.2014;18:34:15;7,74
18.02.2014;18:39:17;7,79
19.02.2014;18:38:07;7,97
20.02.2014;18:38:52;8,02
21.02.2014;18:39:19;7,98
24.02.2014;18:35:23;7,93
25.02.2014;18:33:22;7,96
26.02.2014;18:35:25;8,04
27.02.2014;18:38:53;8,06
28.02.2014;18:38:35;8,03
03.03.2014;18:31:43;8,48
04.03.2014;18:34:20;8,39
05.03.2014;18:39:43;8,36
06.03.2014;18:39:02;8,51
07.03.2014;18:39:57;8,59
11.03.2014;18:39:54;8,9
12.03.2014;18:39:47;9,34
13.03.2014;18:37:46;9,37
14.03.2014;18:39:54;9,74
17.03.2014;18:38:59;9,25
18.03.2014;18:39:51;9,12
19.03.2014;18:38:38;9,0
20.03.2014;18:39:34;9,09
21.03.2014;18:35:24;9,19
24.03.2014;18:38:56;9,1
25.03.2014;18:37:06;8,87
26.03.2014;18:39:57;8,79
27.03.2014;18:38:06;8,8
28.03.2014;18:39:34;8,77
31.03.2014;18:38:14;8,45
01.04.2014;18:39:19;8,5
02.04.2014;18:39:29;8,55
03.04.2014;18:37:17;8,54
04.04.2014;18:37:48;8,46
07.04.2014;18:39:52;8,52
08.04.2014;18:39:53;8,45
