zcyc

tradedate;tradetime;period_20.0
06.01.2014;12:21:16;8,5
08.01.2014;12:41:22;8,54
09.01.2014;18:38:19;8,54
10.01.2014;18:38:17;8,54
13.01.2014;18:37:26;8,57
14.01.2014;18:39:09;8,58
15.01.2014;18:38:21;8,62
16.01.2014;18:38:30;8,66
17.01.2014;18:39:49;8,69
20.01.2014;18:39:25;8,7
21.01.2014;18:38:47;8,72
22.01.2014;18:39:29;8,73
23.01.2014;18:38:07;8,77
24.01.2014;18:39:07;8,87
27.01.2014;18:39:32;8,91
28.01.2014;18:39:37;8,91
29.01.2014;18:38:35;8,95
30.01.2014;18:39:32;8,94
31.01.2014;18:39:46;8,89
03.02.2014;18:39:31;8,74
04.02.2014;18:39:50;8,64
05.02.2014;18:39:23;8,58
06.02.2014;18:39:19;8,61
07.02.2014;18:36:44;8,6
10.02.2014;18:37:12;8,61
11.02.2014;18:39:03;8,66
12.02.2014;18:39:46;8,63
13.02.2014;18:38:03;8,72
14.02.2014;18:32:09;8,69
17.02.2014;18:34:15;8,69
18.02.2014;18:39:17;8,77
19.02.2014;18:38:07;8,89
20.02.2014;18:38:52;8,83
21.02.2014;18:39:19;8,81
24.02.2014;18:35:23;8,71
25.02.2014;18:33:22;8,72
26.02.2014;18:35:25;8,78
27.02.2014;18:38:53;8,81
28.02.2014;18:38:35;8,77
03.03.2014;18:31:43;9,25
04.03.2014;18:34:20;9,09
05.03.2014;18:39:43;9,02
06.03.2014;18:39:02;9,11
07.03.2014;18:39:57;9,1
11.03.2014;18:39:54;9,1
12.03.2014;18:39:47;9,51
13.03.2014;18:37:46;9,64
14.03.2014;18:39:54;9,85
17.03.2014;18:38:59;9,52
18.03.2014;18:39:51;9,4
19.03.2014;18:38:38;9,41
20.03.2014;18:39:34;9,51
21.03.2014;18:35:24;9,65
24.03.2014;18:38:56;9,56
25.03.2014;18:37:06;9,33
26.03.2014;18:39:57;9,23
27.03.2014;18:38:06;9,31
28.03.2014;18:39:34;9,29
31.03.2014;18:38:14;9,07
01.04.2014;18:39:19;9,09
02.04.2014;18:39:29;9,16
03.04.2014;18:37:17;9,12
04.04.2014;18:37:48;8,98
07.04.2014;18:39:52;9,17
08.04.2014;18:39:53;9,03
09.04.2014;18:37:20;9,07
10.04.2014;18:38:54;9,13
11.04.2014;18:39:53;9,19
14.04.2014;18:37:50;9,28
15.04.2014;18:39:48;9,39
16.04.2014;18:39:45;9,42
17.04.2014;18:38:49;9,43
18.04.2014;18:38:59;9,26
21.04.2014;18:38:00;9,32
22.04.2014;18:36:36;9,37
23.04.2014;18:39:58;9,45
24.04.2014;18:38:47;9,59
25.04.2014;18:37:30;9,91
28.04.2014;18:39:25;9,86
29.04.2014;18:38:29;9,74
30.04.2014;18:35:19;9,74
02.05.2014;11:36:32;9,79
05.05.2014;18:33:29;9,84
06.05.2014;18:39:35;9,7
07.05.2014;18:39:38;9,41
08.05.2014;18:39:08;9,31
12.05.2014;18:35:36;9,23
13.05.2014;18:39:37;9,21
14.05.2014;18:35:40;9,12
15.05.2014;18:38:56;9,02
16.05.2014;18:33:18;8,99
19.05.2014;18:39:38;8,97
20.05.2014;18:39:40;8,9
21.05.2014;18:39:31;8,85
22.05.2014;18:39:10;8,89
23.05.2014;18:38:13;8,79
26.05.2014;18:38:47;8,72
27.05.2014;18:38:40;8,84
28.05.2014;18:39:38;8,9
29.05.2014;18:39:43;8,85
30.05.2014;18:39:11;8,86
02.06.2014;18:35:07;8,68
03.06.2014;18:32:06;8,72
04.06.2014;18:30:44;8,67
05.06.2014;18:39:31;8,59
06.06.2014;18:38:31;8,54
09.06.2014;18:39:35;8,53
10.06.2014;18:38:04;8,65
11.06.2014;18:38:43;8,68
16.06.2014;18:32:02;8,84
17.06.2014;18:38:35;8,91
18.06.2014;18:39:56;8,83
19.06.2014;18:37:24;8,8
20.06.2014;18:38:22;8,83
23.06.2014;18:39:12;8,8
24.06.2014;18:39:18;8,69
25.06.2014;18:38:19;8,64
26.06.2014;18:39:42;8,65
27.06.2014;18:36:36;8,66
30.06.2014;18:39:51;8,69
01.07.2014;18:39:53;8,78
02.07.2014;18:32:38;8,68
03.07.2014;18:34:02;8,7
04.07.2014;18:37:56;8,74
07.07.2014;18:35:43;8,63
08.07.2014;18:38:04;8,58
09.07.2014;18:39:47;8,59
10.07.2014;18:39:35;8,66
11.07.2014;18:39:54;8,69
14.07.2014;18:36:31;8,77
15.07.2014;18:39:39;8,78
16.07.2014;18:39:39;8,87
17.07.2014;18:39:33;9,07
18.07.2014;18:39:40;9,07
21.07.2014;18:39:36;9,35
22.07.2014;18:39:53;9,2
23.07.2014;18:39:50;9,15
24.07.2014;18:36:54;9,17
25.07.2014;18:39:53;9,31
28.07.2014;18:39:25;9,39
29.07.2014;18:39:44;9,51
30.07.2014;18:36:05;9,46
31.07.2014;18:39:00;9,49
01.08.2014;18:39:52;9,58
04.08.2014;18:38:42;9,65
05.08.2014;18:37:24;9,7
06.08.2014;18:38:33;9,87
07.08.2014;18:36:18;9,85
08.08.2014;18:38:25;9,86
11.08.2014;18:39:20;9,64
12.08.2014;18:39:50;9,56
13.08.2014;18:39:36;9,53
14.08.2014;18:39:04;9,43
15.08.2014;18:39:04;9,33
18.08.2014;18:29:18;9,36
19.08.2014;18:38:11;9,42
20.08.2014;18:39:19;9,39
21.08.2014;18:39:39;9,37
22.08.2014;18:39:41;9,38
25.08.2014;18:39:02;9,37
26.08.2014;18:39:58;9,4
27.08.2014;18:39:01;9,41
28.08.2014;18:38:43;9,68
29.08.2014;18:39:56;9,77
01.09.2014;18:39:37;9,8
02.09.2014;18:39:35;9,81
03.09.2014;18:39:57;9,53
04.09.2014;18:36:46;9,5
05.09.2014;18:39:03;9,5
