zcyc

tradedate;tradetime;period_0.75
06.01.2014;12:21:16;6,1
08.01.2014;12:41:22;6,1
09.01.2014;18:38:19;5,97
10.01.2014;18:38:17;5,92
13.01.2014;18:37:26;5,99
14.01.2014;18:39:09;5,96
15.01.2014;18:38:21;5,97
16.01.2014;18:38:30;5,99
17.01.2014;18:39:49;6,03
20.01.2014;18:39:25;6,0
21.01.2014;18:38:47;6,06
22.01.2014;18:39:29;6,06
23.01.2014;18:38:07;6,06
24.01.2014;18:39:07;6,18
27.01.2014;18:39:32;6,17
28.01.2014;18:39:37;6,17
29.01.2014;18:38:35;6,27
30.01.2014;18:39:32;6,53
31.01.2014;18:39:46;6,45
03.02.2014;18:39:31;6,38
04.02.2014;18:39:50;6,3
05.02.2014;18:39:23;6,24
06.02.2014;18:39:19;6,26
07.02.2014;18:36:44;6,18
10.02.2014;18:37:12;6,16
11.02.2014;18:39:03;6,18
12.02.2014;18:39:46;6,21
13.02.2014;18:38:03;6,25
14.02.2014;18:32:09;6,3
17.02.2014;18:34:15;6,16
18.02.2014;18:39:17;6,21
19.02.2014;18:38:07;6,38
20.02.2014;18:38:52;6,23
21.02.2014;18:39:19;6,25
24.02.2014;18:35:23;6,23
25.02.2014;18:33:22;6,2
26.02.2014;18:35:25;6,16
27.02.2014;18:38:53;6,19
28.02.2014;18:38:35;6,17
03.03.2014;18:31:43;7,04
04.03.2014;18:34:20;6,81
05.03.2014;18:39:43;7,04
06.03.2014;18:39:02;7,12
07.03.2014;18:39:57;7,0
11.03.2014;18:39:54;7,05
12.03.2014;18:39:47;7,5
13.03.2014;18:37:46;7,17
14.03.2014;18:39:54;7,71
17.03.2014;18:38:59;7,15
18.03.2014;18:39:51;7,06
19.03.2014;18:38:38;6,99
20.03.2014;18:39:34;7,47
21.03.2014;18:35:24;7,4
24.03.2014;18:38:56;7,32
25.03.2014;18:37:06;7,21
26.03.2014;18:39:57;6,97
27.03.2014;18:38:06;7,19
28.03.2014;18:39:34;7,07
31.03.2014;18:38:14;6,93
01.04.2014;18:39:19;7,08
02.04.2014;18:39:29;6,98
03.04.2014;18:37:17;7,09
04.04.2014;18:37:48;6,97
07.04.2014;18:39:52;7,11
08.04.2014;18:39:53;7,1
09.04.2014;18:37:20;7,2
10.04.2014;18:38:54;7,17
11.04.2014;18:39:53;7,17
14.04.2014;18:37:50;7,24
15.04.2014;18:39:48;7,26
16.04.2014;18:39:45;7,25
17.04.2014;18:38:49;7,19
18.04.2014;18:38:59;7,16
21.04.2014;18:38:00;7,19
22.04.2014;18:36:36;7,15
23.04.2014;18:39:58;7,25
24.04.2014;18:38:47;7,28
25.04.2014;18:37:30;7,52
28.04.2014;18:39:25;7,5
29.04.2014;18:38:29;7,26
30.04.2014;18:35:19;7,35
02.05.2014;11:36:32;7,57
05.05.2014;18:33:29;7,66
06.05.2014;18:39:35;7,49
07.05.2014;18:39:38;7,58
08.05.2014;18:39:08;7,82
12.05.2014;18:35:36;7,88
13.05.2014;18:39:37;7,75
14.05.2014;18:35:40;7,82
15.05.2014;18:38:56;7,7
16.05.2014;18:33:18;7,75
19.05.2014;18:39:38;7,69
20.05.2014;18:39:40;7,9
21.05.2014;18:39:31;7,78
22.05.2014;18:39:10;7,8
23.05.2014;18:38:13;7,69
26.05.2014;18:38:47;7,58
27.05.2014;18:38:40;7,98
28.05.2014;18:39:38;7,75
29.05.2014;18:39:43;7,66
30.05.2014;18:39:11;7,77
02.06.2014;18:35:07;7,82
03.06.2014;18:32:06;7,88
04.06.2014;18:30:44;7,94
05.06.2014;18:39:31;7,9
06.06.2014;18:38:31;7,67
09.06.2014;18:39:35;7,74
10.06.2014;18:38:04;7,71
11.06.2014;18:38:43;7,77
16.06.2014;18:32:02;7,89
17.06.2014;18:38:35;7,91
18.06.2014;18:39:56;7,9
19.06.2014;18:37:24;7,88
20.06.2014;18:38:22;7,87
23.06.2014;18:39:12;7,89
24.06.2014;18:39:18;7,78
25.06.2014;18:38:19;7,72
